2021-06-25  00:00 PDT 2.949180
2021-06-25  01:00 PDT 3.013593
2021-06-25  02:00 PDT 2.986069
2021-06-25  03:00 PDT 2.835227
2021-06-25  04:00 PDT 2.530983
2021-06-25  05:00 PDT 2.096123
2021-06-25  06:00 PDT 1.592643
2021-06-25  07:00 PDT 1.060466
2021-06-25  08:00 PDT 0.529971
2021-06-25  09:00 PDT 0.091732
2021-06-25  10:00 PDT -0.122304
2021-06-25  11:00 PDT -0.053671
2021-06-25  12:00 PDT 0.235845
2021-06-25  13:00 PDT 0.645021
2021-06-25  14:00 PDT 1.105489
2021-06-25  15:00 PDT 1.561252
2021-06-25  16:00 PDT 1.948153
2021-06-25  17:00 PDT 2.236763
2021-06-25  18:00 PDT 2.449278
2021-06-25  19:00 PDT 2.599514
2021-06-25  20:00 PDT 2.663946
2021-06-25  21:00 PDT 2.649028
2021-06-25  22:00 PDT 2.634745
2021-06-25  23:00 PDT 2.696410
2021-06-26  00:00 PDT 2.815634
2021-06-26  01:00 PDT 2.914497
2021-06-26  02:00 PDT 2.942725
2021-06-26  03:00 PDT 2.881622
2021-06-26  04:00 PDT 2.699799
2021-06-26  05:00 PDT 2.372780
2021-06-26  06:00 PDT 1.931935
2021-06-26  07:00 PDT 1.439051
2021-06-26  08:00 PDT 0.929838
2021-06-26  09:00 PDT 0.440141
2021-06-26  10:00 PDT 0.068307
2021-06-26  11:00 PDT -0.065060
2021-06-26  12:00 PDT 0.070115
2021-06-26  13:00 PDT 0.393835
2021-06-26  14:00 PDT 0.809499
2021-06-26  15:00 PDT 1.260254
2021-06-26  16:00 PDT 1.695144
2021-06-26  17:00 PDT 2.054975
2021-06-26  18:00 PDT 2.318948
2021-06-26  19:00 PDT 2.510710
2021-06-26  20:00 PDT 2.636092
2021-06-26  21:00 PDT 2.670235
2021-06-26  22:00 PDT 2.630944
2021-06-26  23:00 PDT 2.603654
2021-06-27  00:00 PDT 2.650935
2021-06-27  01:00 PDT 2.740728
2021-06-27  02:00 PDT 2.800078
2021-06-27  03:00 PDT 2.793564
2021-06-27  04:00 PDT 2.708427
2021-06-27  05:00 PDT 2.512489
2021-06-27  06:00 PDT 2.186114
2021-06-27  07:00 PDT 1.767133
2021-06-27  08:00 PDT 1.314668
2021-06-27  09:00 PDT 0.858863
2021-06-27  10:00 PDT 0.438024
2021-06-27  11:00 PDT 0.150739
2021-06-27  12:00 PDT 0.098702
2021-06-27  13:00 PDT 0.284009
2021-06-27  14:00 PDT 0.617137
2021-06-27  15:00 PDT 1.014970
2021-06-27  16:00 PDT 1.435636
2021-06-27  17:00 PDT 1.833231
2021-06-27  18:00 PDT 2.153148
2021-06-27  19:00 PDT 2.382222
2021-06-27  20:00 PDT 2.544214
2021-06-27  21:00 PDT 2.637531
2021-06-27  22:00 PDT 2.637545
2021-06-27  23:00 PDT 2.571636
2021-06-28  00:00 PDT 2.525624
2021-06-28  01:00 PDT 2.547602
2021-06-28  02:00 PDT 2.597132
2021-06-28  03:00 PDT 2.613188
2021-06-28  04:00 PDT 2.577209
2021-06-28  05:00 PDT 2.480293
2021-06-28  06:00 PDT 2.287899
2021-06-28  07:00 PDT 1.984697
2021-06-28  08:00 PDT 1.613355
2021-06-28  09:00 PDT 1.228005
2021-06-28  10:00 PDT 0.851162
2021-06-28  11:00 PDT 0.519569
2021-06-28  12:00 PDT 0.325158
2021-06-28  13:00 PDT 0.346490
2021-06-28  14:00 PDT 0.562079
2021-06-28  15:00 PDT 0.882801
2021-06-28  16:00 PDT 1.245546
2021-06-28  17:00 PDT 1.623377
2021-06-28  18:00 PDT 1.973315
2021-06-28  19:00 PDT 2.244579
2021-06-28  20:00 PDT 2.431132
2021-06-28  21:00 PDT 2.556096
2021-06-28  22:00 PDT 2.611028
2021-06-28  23:00 PDT 2.572365
2021-06-29  00:00 PDT 2.475004
2021-06-29  01:00 PDT 2.401774
2021-06-29  02:00 PDT 2.387525
2021-06-29  03:00 PDT 2.390119
2021-06-29  04:00 PDT 2.365658
2021-06-29  05:00 PDT 2.311269
2021-06-29  06:00 PDT 2.217938
2021-06-29  07:00 PDT 2.047211
2021-06-29  08:00 PDT 1.788188
2021-06-29  09:00 PDT 1.487015
2021-06-29  10:00 PDT 1.190254
2021-06-29  11:00 PDT 0.910193
2021-06-29  12:00 PDT 0.678127
2021-06-29  13:00 PDT 0.574569
2021-06-29  14:00 PDT 0.654587
2021-06-29  15:00 PDT 0.880306
2021-06-29  16:00 PDT 1.172051
2021-06-29  17:00 PDT 1.489530
2021-06-29  18:00 PDT 1.817422
2021-06-29  19:00 PDT 2.112622
2021-06-29  20:00 PDT 2.328051
2021-06-29  21:00 PDT 2.465059
2021-06-29  22:00 PDT 2.545713
2021-06-29  23:00 PDT 2.555217
