2021-06-01  14:43 PDT   0.70 meters  Low Tide
2021-06-01  23:56 PDT   2.67 meters  High Tide
2021-06-02  15:28 PDT   0.98 meters  Low Tide
2021-06-03  00:16 PDT   2.64 meters  High Tide
2021-06-03  08:04 PDT   1.79 meters  Low Tide
2021-06-03  09:54 PDT   1.82 meters  High Tide
2021-06-03  16:09 PDT   1.25 meters  Low Tide
2021-06-04  00:21 PDT   2.61 meters  High Tide
2021-06-04  08:11 PDT   1.53 meters  Low Tide
2021-06-04  11:49 PDT   1.74 meters  High Tide
2021-06-04  16:49 PDT   1.52 meters  Low Tide
2021-06-05  00:24 PDT   2.62 meters  High Tide
2021-06-05  08:19 PDT   1.29 meters  Low Tide
2021-06-05  15:17 PDT   1.81 meters  High Tide
2021-06-05  17:26 PDT   1.77 meters  Low Tide
2021-06-06  00:35 PDT   2.65 meters  High Tide
2021-06-06  08:28 PDT   1.05 meters  Low Tide
2021-06-06  16:55 PDT   2.00 meters  High Tide
2021-06-06  18:03 PDT   1.99 meters  Low Tide
2021-06-07  00:50 PDT   2.69 meters  High Tide
2021-06-07  08:46 PDT   0.83 meters  Low Tide
2021-06-07  18:00 PDT   2.18 meters  High Tide
2021-06-07  18:47 PDT   2.18 meters  Low Tide
2021-06-08  01:06 PDT   2.74 meters  High Tide
2021-06-08  09:11 PDT   0.63 meters  Low Tide
2021-06-08  18:43 PDT   2.34 meters  High Tide
2021-06-08  19:43 PDT   2.33 meters  Low Tide
2021-06-09  01:18 PDT   2.77 meters  High Tide
2021-06-09  09:41 PDT   0.48 meters  Low Tide
2021-06-09  19:18 PDT   2.45 meters  High Tide
2021-06-09  20:40 PDT   2.44 meters  Low Tide
2021-06-10  01:24 PDT   2.80 meters  High Tide
2021-06-10  10:15 PDT   0.36 meters  Low Tide
2021-06-10  19:52 PDT   2.54 meters  High Tide
2021-06-10  21:37 PDT   2.51 meters  Low Tide
2021-06-11  01:40 PDT   2.81 meters  High Tide
2021-06-11  10:51 PDT   0.30 meters  Low Tide
2021-06-11  20:27 PDT   2.61 meters  High Tide
2021-06-11  22:33 PDT   2.55 meters  Low Tide
2021-06-12  02:07 PDT   2.80 meters  High Tide
2021-06-12  11:29 PDT   0.27 meters  Low Tide
2021-06-12  21:05 PDT   2.65 meters  High Tide
2021-06-12  23:31 PDT   2.57 meters  Low Tide
2021-06-13  02:37 PDT   2.75 meters  High Tide
2021-06-13  12:10 PDT   0.29 meters  Low Tide
2021-06-13  21:43 PDT   2.68 meters  High Tide
2021-06-14  00:34 PDT   2.56 meters  Low Tide
2021-06-14  03:09 PDT   2.68 meters  High Tide
2021-06-14  12:51 PDT   0.36 meters  Low Tide
2021-06-14  22:17 PDT   2.69 meters  High Tide
2021-06-15  01:46 PDT   2.51 meters  Low Tide
2021-06-15  03:42 PDT   2.56 meters  High Tide
2021-06-15  13:33 PDT   0.47 meters  Low Tide
2021-06-15  22:43 PDT   2.69 meters  High Tide
2021-06-16  03:12 PDT   2.37 meters  Low Tide
2021-06-16  04:10 PDT   2.38 meters  High Tide
2021-06-16  14:16 PDT   0.64 meters  Low Tide
2021-06-16  22:59 PDT   2.68 meters  High Tide
2021-06-17  14:58 PDT   0.87 meters  Low Tide
2021-06-17  23:12 PDT   2.68 meters  High Tide
2021-06-18  07:55 PDT   1.79 meters  Low Tide
2021-06-18  09:33 PDT   1.81 meters  High Tide
2021-06-18  15:41 PDT   1.15 meters  Low Tide
2021-06-18  23:26 PDT   2.71 meters  High Tide
2021-06-19  06:29 PDT   1.43 meters  Low Tide
2021-06-19  11:39 PDT   1.76 meters  High Tide
2021-06-19  16:25 PDT   1.47 meters  Low Tide
2021-06-19  23:42 PDT   2.77 meters  High Tide
2021-06-20  07:04 PDT   1.03 meters  Low Tide
2021-06-20  13:58 PDT   1.87 meters  High Tide
2021-06-20  17:12 PDT   1.79 meters  Low Tide
2021-06-21  00:00 PDT   2.87 meters  High Tide
2021-06-21  07:43 PDT   0.64 meters  Low Tide
2021-06-21  16:28 PDT   2.11 meters  High Tide
2021-06-21  18:04 PDT   2.08 meters  Low Tide
